archivo;alpha;valor;tiempo
MDG-a_10_100_m10;0.0;354.9600;1.0004
MDG-a_10_100_m10;0.05;355.5000;1.0003
MDG-a_10_100_m10;0.1;355.5000;1.0003
MDG-a_10_100_m10;0.15;355.5000;1.0013
MDG-a_10_100_m10;0.2;355.5000;1.0013
MDG-a_10_100_m10;0.25;355.5000;1.0013
MDG-a_10_100_m10;0.3;355.5000;1.0003
MDG-a_10_100_m10;0.35;355.5000;1.0003
MDG-a_10_100_m10;0.4;355.5000;1.0013
MDG-a_10_100_m10;0.45;355.5000;1.0013
MDG-a_10_100_m10;0.5;355.5000;1.0023
MDG-a_10_100_m10;0.55;355.5000;1.0023
MDG-a_10_100_m10;0.6;355.5000;1.0003
MDG-a_10_100_m10;0.65;355.5000;1.0003
MDG-a_10_100_m10;0.7;355.5000;1.0003
MDG-a_10_100_m10;0.75;355.5000;1.0014
MDG-a_10_100_m10;0.8;355.5000;1.0003
MDG-a_10_100_m10;0.85;355.5000;1.0003
MDG-a_10_100_m10;0.9;355.5000;1.0003
MDG-a_10_100_m10;0.95;355.5000;1.0003
MDG-a_10_100_m10;1.0;355.5000;1.0023
MDG-a_12_100_m10;0.0;354.2500;1.0003
MDG-a_12_100_m10;0.05;354.2500;1.0003
MDG-a_12_100_m10;0.1;354.2500;1.0003
MDG-a_12_100_m10;0.15;354.2500;1.0013
MDG-a_12_100_m10;0.2;354.2500;1.0013
MDG-a_12_100_m10;0.25;354.2500;1.0003
MDG-a_12_100_m10;0.3;354.2500;1.0013
MDG-a_12_100_m10;0.35;354.2500;1.0013
MDG-a_12_100_m10;0.4;354.2500;1.0004
MDG-a_12_100_m10;0.45;354.2500;1.0023
MDG-a_12_100_m10;0.5;354.2500;1.0004
MDG-a_12_100_m10;0.55;354.2500;1.0033
MDG-a_12_100_m10;0.6;354.2500;1.0014
MDG-a_12_100_m10;0.65;354.2500;1.0033
MDG-a_12_100_m10;0.7;354.2500;1.0014
MDG-a_12_100_m10;0.75;354.2500;1.0004
MDG-a_12_100_m10;0.8;354.2500;1.0013
MDG-a_12_100_m10;0.85;354.2500;1.0004
MDG-a_12_100_m10;0.9;354.2500;1.0013
MDG-a_12_100_m10;0.95;354.2500;1.0013
MDG-a_12_100_m10;1.0;354.2500;1.0023
MDG-a_13_n500_m50;0.0;7727.8800;1.0033
MDG-a_13_n500_m50;0.05;7692.7800;1.0667
MDG-a_13_n500_m50;0.1;7701.9700;1.0492
MDG-a_13_n500_m50;0.15;7733.5400;1.0592
MDG-a_13_n500_m50;0.2;7650.2900;1.0163
MDG-a_13_n500_m50;0.25;7661.5400;1.0293
MDG-a_13_n500_m50;0.3;7673.3500;1.0023
MDG-a_13_n500_m50;0.35;7659.7000;1.0452
MDG-a_13_n500_m50;0.4;7677.6400;1.1091
MDG-a_13_n500_m50;0.45;7673.6600;1.1190
MDG-a_13_n500_m50;0.5;7759.7600;1.1330
MDG-a_13_n500_m50;0.55;7732.6900;1.2427
MDG-a_13_n500_m50;0.6;7682.2400;1.0970
MDG-a_13_n500_m50;0.65;7654.8600;1.1400
MDG-a_13_n500_m50;0.7;7665.5900;1.0791
MDG-a_13_n500_m50;0.75;7687.5100;1.0671
MDG-a_13_n500_m50;0.8;7608.5900;1.1639
MDG-a_13_n500_m50;0.85;7694.5900;1.2028
MDG-a_13_n500_m50;0.9;7630.1700;1.0403
MDG-a_13_n500_m50;0.95;7647.1100;1.1749
MDG-a_13_n500_m50;1.0;7692.6800;1.1579
MDG-a_14_100_m10;0.0;354.1700;1.0003
MDG-a_14_100_m10;0.05;356.0600;1.0003
MDG-a_14_100_m10;0.1;356.0600;1.0004
MDG-a_14_100_m10;0.15;356.0600;1.0003
MDG-a_14_100_m10;0.2;356.0600;1.0003
MDG-a_14_100_m10;0.25;356.0600;1.0013
MDG-a_14_100_m10;0.3;356.0600;1.0013
MDG-a_14_100_m10;0.35;356.0600;1.0023
MDG-a_14_100_m10;0.4;356.0600;1.0004
MDG-a_14_100_m10;0.45;356.0600;1.0003
MDG-a_14_100_m10;0.5;356.0600;1.0023
MDG-a_14_100_m10;0.55;356.0600;1.0014
MDG-a_14_100_m10;0.6;356.0600;1.0023
MDG-a_14_100_m10;0.65;356.0600;1.0033
MDG-a_14_100_m10;0.7;356.0600;1.0014
MDG-a_14_100_m10;0.75;356.0600;1.0003
MDG-a_14_100_m10;0.8;356.0600;1.0003
MDG-a_14_100_m10;0.85;356.0600;1.0013
MDG-a_14_100_m10;0.9;356.0600;1.0009
MDG-a_14_100_m10;0.95;356.0600;1.0003
MDG-a_14_100_m10;1.0;356.0600;1.0013
MDG-a_16_n500_m50;0.0;7670.7200;1.0043
MDG-a_16_n500_m50;0.05;7689.9600;1.0662
MDG-a_16_n500_m50;0.1;7711.3000;1.0891
MDG-a_16_n500_m50;0.15;7682.5100;1.0292
MDG-a_16_n500_m50;0.2;7721.4000;1.0163
MDG-a_16_n500_m50;0.25;7658.7500;1.0961
MDG-a_16_n500_m50;0.3;7624.6900;1.0023
MDG-a_16_n500_m50;0.35;7715.3400;1.0971
MDG-a_16_n500_m50;0.4;7662.5700;1.2158
MDG-a_16_n500_m50;0.45;7669.7100;1.1849
MDG-a_16_n500_m50;0.5;7676.0600;1.1180
MDG-a_16_n500_m50;0.55;7617.0100;1.0163
MDG-a_16_n500_m50;0.6;7626.4800;1.1958
MDG-a_16_n500_m50;0.65;7706.0300;1.0662
MDG-a_16_n500_m50;0.7;7650.5300;1.2248
MDG-a_16_n500_m50;0.75;7598.8200;1.1818
