archivo;alpha;valor;tiempo
MDG-a_10_100_m10;0.1;355.5000;60.0014
MDG-a_12_100_m10;0.1;354.2500;60.0002
MDG-a_13_n500_m50;0.1;7747.8800;60.0191
MDG-a_14_100_m10;0.1;356.0600;60.0006
MDG-a_16_n500_m50;0.1;7759.1300;60.0986
MDG-a_17_n500_m50;0.1;7769.8200;60.0321
MDG-a_19_n500_m50;0.1;7722.3400;60.0397
MDG-a_1_100_m10;0.1;360.1500;60.0001
MDG-a_20_100_m10;0.1;349.3100;60.0005
MDG-a_20_n500_m50;0.1;7685.8100;60.0262
MDG-a_2_n500_m50;0.1;7725.1700;60.0142
MDG-a_4_100_m10;0.1;355.7200;60.0009
MDG-a_5_n500_m50;0.1;7734.6700;60.0152
MDG-a_6_n500_m50;0.1;7760.6700;60.1384
MDG-a_9_n500_m50;0.1;7770.0700;60.0735
