archivo;alpha;valor;tiempo
MDG-a_10_100_m10;0.1;355.5;1.036431074142456
MDG-a_12_100_m10;0.1;354.25;1.0374555587768555
MDG-a_13_n500_m50;0.1;7613.6;1.4425697326660156
MDG-a_14_100_m10;0.1;354.17;1.0422101020812988
MDG-a_16_n500_m50;0.1;7628.300000000004;1.3305795192718506
MDG-a_17_n500_m50;0.1;7680.260000000003;1.6908457279205322
MDG-a_19_n500_m50;0.1;7599.77;1.7953252792358398
MDG-a_1_100_m10;0.1;360.15;1.034740924835205
MDG-a_20_100_m10;0.1;348.68;1.0352647304534912
MDG-a_20_n500_m50;0.1;7590.92;1.3896520137786865
MDG-a_2_n500_m50;0.1;7668.100000000001;1.6299915313720703
MDG-a_4_100_m10;0.1;355.72;1.039144515991211
MDG-a_5_n500_m50;0.1;7582.82;1.3271048069000244
MDG-a_6_n500_m50;0.1;7637.02;1.34238862991333
MDG-a_9_n500_m50;0.1;7633.91;1.423367977142334
